Month,Sales
2018-01-01,20294
2018-02-01,21607
2018-03-01,29729
2018-04-01,19481
2018-05-01,16310
2018-06-01,13355
2018-07-01,20597
2018-08-01,22245
2018-09-01,20783
2018-10-01,21311
2018-11-01,24440
2018-12-01,28440
2019-01-01,28529
2019-02-01,35498
2019-03-01,35460
2019-04-01,24412
2019-05-01,20419
2019-06-01,35964
2019-07-01,26690
2019-08-01,30114
2019-09-01,37281
2019-10-01,31283
2019-11-01,21729
2019-12-01,25600
2020-01-01,37960
2020-02-01,32636
2020-03-01,33078
2020-04-01,55188
2020-05-01,43782
2020-06-01,35123
2020-07-01,45808
2020-08-01,45411
2020-09-01,42673
2020-10-01,54373
2020-11-01,32548
2020-12-01,55994
,
,
